,t_12,t_23,bank_id,s_id,r_first,r_second,all_0,all_1,random
0,40,1,1,0,131,390,1.0,1.0,1.0
0,40,1,2,0,131,390,1.0,1.0,1.0
0,40,1,3,0,131,390,1.0,1.0,1.0
0,40,2,0,0,131,390,1.0,1.0,1.0
0,40,2,1,0,131,390,1.0,1.0,1.0
0,40,2,2,0,131,390,1.0,1.0,1.0
0,40,2,3,0,131,390,1.0,1.0,1.0
0,40,3,0,0,131,390,1.0,1.0,1.0
0,40,3,1,0,131,390,1.0,1.0,1.0
0,40,3,2,0,131,390,1.0,1.0,1.0
0,40,3,3,0,131,390,1.0,1.0,1.0
0,0,0,0,0,143,435,0.125,0.125,0.125
0,0,0,1,0,143,435,0.125,0.15625,0.125
0,0,0,2,0,143,435,0.125,0.125,0.125
0,0,0,3,0,143,435,0.125,0.125,0.125
0,0,1,0,0,143,435,0.125,0.125,0.15625
0,0,1,1,0,143,435,0.125,0.125,0.125
0,0,1,2,0,143,435,0.125,0.125,0.125
0,0,1,3,0,143,435,0.15625,0.125,0.125
0,0,2,0,0,143,435,0.15625,0.125,0.125
0,0,2,1,0,143,435,0.125,0.125,0.125
0,0,2,2,0,143,435,0.125,0.15625,0.125
0,0,2,3,0,143,435,0.125,0.125,0.125
0,0,3,0,0,143,435,0.125,0.125,0.125
0,0,3,1,0,143,435,0.125,0.125,0.125
0,0,3,2,0,143,435,0.125,0.125,0.125
0,0,3,3,0,143,435,0.125,0.125,0.125
0,10,0,0,0,143,435,1.0,1.0,1.0
0,10,0,1,0,143,435,1.0,1.0,1.0
0,10,0,2,0,143,435,1.0,1.0,1.0
0,10,0,3,0,143,435,1.0,1.0,1.0
0,10,1,0,0,143,435,1.0,1.0,1.0
0,10,1,1,0,143,435,1.0,1.0,1.0
0,10,1,2,0,143,435,1.0,1.0,1.0
0,10,1,3,0,143,435,1.0,1.0,1.0
0,10,2,0,0,143,435,1.0,1.0,1.0
0,10,2,1,0,143,435,1.0,1.0,1.0
0,10,2,2,0,143,435,1.0,1.0,1.0
0,10,2,3,0,143,435,1.0,1.0,1.0
0,10,3,0,0,143,435,1.0,1.0,1.0
0,10,3,1,0,143,435,1.0,1.0,1.0
0,10,3,2,0,143,435,1.0,1.0,1.0
0,10,3,3,0,143,435,1.0,1.0,1.0
0,20,0,0,0,143,435,1.0,1.0,1.0
0,20,0,1,0,143,435,1.0,1.0,1.0
0,20,0,2,0,143,435,1.0,1.0,1.0
0,20,0,3,0,143,435,1.0,1.0,1.0
0,20,1,0,0,143,435,1.0,1.0,1.0
0,20,1,1,0,143,435,1.0,1.0,1.0
0,20,1,2,0,143,435,1.0,1.0,1.0
0,20,1,3,0,143,435,1.0,1.0,1.0
0,20,2,0,0,143,435,1.0,1.0,1.0
0,20,2,1,0,143,435,1.0,1.0,1.0
0,20,2,2,0,143,435,1.0,1.0,1.0
0,20,2,3,0,143,435,1.0,1.0,1.0
0,20,3,0,0,143,435,1.0,1.0,1.0
0,20,3,1,0,143,435,1.0,1.0,1.0
0,20,3,2,0,143,435,1.0,1.0,1.0
0,20,3,3,0,143,435,1.0,1.0,1.0
0,30,0,0,0,143,435,1.0,1.0,1.0
0,30,0,1,0,143,435,1.0,1.0,1.0
0,30,0,2,0,143,435,1.0,1.0,1.0
0,30,0,3,0,143,435,1.0,1.0,1.0
0,30,1,0,0,143,435,1.0,1.0,1.0
0,30,1,1,0,143,435,1.0,1.0,1.0
0,30,1,2,0,143,435,1.0,1.0,1.0
0,30,1,3,0,143,435,1.0,1.0,1.0
0,30,2,0,0,143,435,1.0,1.0,1.0
0,30,2,1,0,143,435,1.0,1.0,1.0
0,30,2,2,0,143,435,1.0,1.0,1.0
0,30,2,3,0,143,435,1.0,1.0,1.0
0,30,3,0,0,143,435,1.0,1.0,1.0
0,30,3,1,0,143,435,1.0,1.0,1.0
0,30,3,2,0,143,435,1.0,1.0,1.0
0,30,3,3,0,143,435,1.0,1.0,1.0
0,40,0,0,0,143,435,1.0,1.0,1.0
0,40,0,1,0,143,435,1.0,1.0,1.0
0,40,0,2,0,143,435,1.0,1.0,1.0
0,40,0,3,0,143,435,1.0,1.0,1.0
0,40,1,0,0,143,435,1.0,1.0,1.0
0,40,1,1,0,143,435,1.0,1.0,1.0
0,40,1,2,0,143,435,1.0,1.0,1.0
0,40,1,3,0,143,435,1.0,1.0,1.0
0,40,2,0,0,143,435,1.0,1.0,1.0
0,40,2,1,0,143,435,1.0,1.0,1.0
0,40,2,2,0,143,435,1.0,1.0,1.0
0,40,2,3,0,143,435,1.0,1.0,1.0
0,40,3,0,0,143,435,1.0,1.0,1.0
0,40,3,1,0,143,435,1.0,1.0,1.0
0,40,3,2,0,143,435,1.0,1.0,1.0
0,40,3,3,0,143,435,1.0,1.0,1.0
0,0,0,0,0,199,643,0.125,0.125,0.125
0,0,0,1,0,199,643,0.125,0.125,0.125
0,0,0,2,0,199,643,0.125,0.125,0.125
0,0,0,3,0,199,643,0.125,0.15625,0.125
0,0,1,0,0,199,643,0.125,0.125,0.125
0,0,1,1,0,199,643,0.15625,0.125,0.15625
0,0,1,2,0,199,643,0.125,0.125,0.125
0,0,1,3,0,199,643,0.125,0.125,0.125
0,0,2,0,0,199,643,0.125,0.125,0.125
0,0,2,1,0,199,643,0.125,0.125,0.125
0,0,2,2,0,199,643,0.125,0.15625,0.15625
0,0,2,3,0,199,643,0.125,0.125,0.125
0,0,3,0,0,199,643,0.125,0.125,0.125
0,0,3,1,0,199,643,0.125,0.125,0.125
0,0,3,2,0,199,643,0.125,0.125,0.125
0,0,3,3,0,199,643,0.125,0.125,0.125
0,10,0,0,0,199,643,1.0,1.0,1.0
0,10,0,1,0,199,643,1.0,1.0,1.0
0,10,0,2,0,199,643,1.0,1.0,1.0
0,10,0,3,0,199,643,1.0,1.0,1.0
0,10,1,0,0,199,643,1.0,1.0,1.0
0,10,1,1,0,199,643,1.0,1.0,1.0
0,10,1,2,0,199,643,1.0,1.0,1.0
0,10,1,3,0,199,643,1.0,1.0,1.0
0,10,2,0,0,199,643,1.0,1.0,1.0
0,10,2,1,0,199,643,1.0,1.0,1.0
0,10,2,2,0,199,643,1.0,1.0,1.0
0,10,2,3,0,199,643,1.0,1.0,1.0
0,10,3,0,0,199,643,1.0,1.0,1.0
0,10,3,1,0,199,643,1.0,1.0,1.0
0,10,3,2,0,199,643,1.0,1.0,1.0
0,10,3,3,0,199,643,1.0,1.0,1.0
0,20,0,0,0,199,643,1.0,1.0,1.0
0,20,0,1,0,199,643,1.0,1.0,1.0
0,20,0,2,0,199,643,1.0,1.0,1.0
0,20,0,3,0,199,643,1.0,1.0,1.0
0,20,1,0,0,199,643,1.0,1.0,1.0
0,20,1,1,0,199,643,1.0,1.0,1.0
0,20,1,2,0,199,643,1.0,1.0,1.0
0,20,1,3,0,199,643,1.0,1.0,1.0
0,20,2,0,0,199,643,1.0,1.0,1.0
0,20,2,1,0,199,643,1.0,1.0,1.0
0,20,2,2,0,199,643,1.0,1.0,1.0
0,20,2,3,0,199,643,1.0,1.0,1.0
0,20,3,0,0,199,643,1.0,1.0,1.0
0,20,3,1,0,199,643,1.0,1.0,1.0
0,20,3,2,0,199,643,1.0,1.0,1.0
0,20,3,3,0,199,643,1.0,1.0,1.0
0,30,0,0,0,199,643,1.0,1.0,1.0
0,30,0,1,0,199,643,1.0,1.0,1.0
0,30,0,2,0,199,643,1.0,1.0,1.0
0,30,0,3,0,199,643,1.0,1.0,1.0
0,30,1,0,0,199,643,1.0,1.0,1.0
0,30,1,1,0,199,643,1.0,1.0,1.0
0,30,1,2,0,199,643,1.0,1.0,1.0
0,30,1,3,0,199,643,1.0,1.0,1.0
0,30,2,0,0,199,643,1.0,1.0,1.0
0,30,2,1,0,199,643,1.0,1.0,1.0
0,30,2,2,0,199,643,1.0,1.0,1.0
0,30,2,3,0,199,643,1.0,1.0,1.0
0,30,3,0,0,199,643,1.0,1.0,1.0
0,30,3,1,0,199,643,1.0,1.0,1.0
0,30,3,2,0,199,643,1.0,1.0,1.0
0,30,3,3,0,199,643,1.0,1.0,1.0
0,40,0,0,0,199,643,1.0,1.0,1.0
0,40,0,1,0,199,643,1.0,1.0,1.0
0,40,0,2,0,199,643,1.0,1.0,1.0
0,40,0,3,0,199,643,1.0,1.0,1.0
0,40,1,0,0,199,643,1.0,1.0,1.0
0,40,1,1,0,199,643,1.0,1.0,1.0
0,40,1,2,0,199,643,1.0,1.0,1.0
0,40,1,3,0,199,643,1.0,1.0,1.0
0,40,2,0,0,199,643,1.0,1.0,1.0
0,40,2,1,0,199,643,1.0,1.0,1.0
0,40,2,2,0,199,643,1.0,1.0,1.0
0,40,2,3,0,199,643,1.0,1.0,1.0
0,40,3,0,0,199,643,1.0,1.0,1.0
0,40,3,1,0,199,643,1.0,1.0,1.0
0,40,3,2,0,199,643,1.0,1.0,1.0
0,40,3,3,0,199,643,1.0,1.0,1.0
0,0,0,0,0,170,478,0.125,0.15625,0.125
0,0,0,1,0,170,478,0.125,0.125,0.125
0,0,0,2,0,170,478,0.125,0.125,0.125
0,0,0,3,0,170,478,0.125,0.125,0.125
0,0,1,0,0,170,478,0.125,0.125,0.125
0,0,1,1,0,170,478,0.125,0.125,0.125
0,0,1,2,0,170,478,0.125,0.125,0.125
0,0,1,3,0,170,478,0.125,0.125,0.125
0,0,2,0,0,170,478,0.125,0.125,0.125
0,0,2,1,0,170,478,0.125,0.125,0.125
0,0,2,2,0,170,478,0.125,0.125,0.125
0,0,2,3,0,170,478,0.125,0.125,0.15625
0,0,3,0,0,170,478,0.15625,0.125,0.15625
0,0,3,1,0,170,478,0.125,0.125,0.125
0,0,3,2,0,170,478,0.15625,0.125,0.15625
0,0,3,3,0,170,478,0.125,0.125,0.125
0,10,0,0,0,170,478,1.0,1.0,1.0
0,10,0,1,0,170,478,1.0,1.0,1.0
0,10,0,2,0,170,478,1.0,1.0,1.0
0,10,0,3,0,170,478,1.0,1.0,1.0
0,10,1,0,0,170,478,1.0,1.0,1.0
0,10,1,1,0,170,478,1.0,1.0,1.0
0,10,1,2,0,170,478,1.0,1.0,1.0
0,10,1,3,0,170,478,1.0,1.0,1.0
0,10,2,0,0,170,478,1.0,1.0,1.0
0,10,2,1,0,170,478,1.0,1.0,1.0
0,10,2,2,0,170,478,1.0,1.0,1.0
0,10,2,3,0,170,478,1.0,1.0,1.0
0,10,3,0,0,170,478,1.0,1.0,1.0
0,10,3,1,0,170,478,1.0,1.0,1.0
0,10,3,2,0,170,478,1.0,1.0,1.0
0,10,3,3,0,170,478,1.0,1.0,1.0
0,20,0,0,0,170,478,1.0,1.0,1.0
0,20,0,1,0,170,478,1.0,1.0,1.0
0,20,0,2,0,170,478,1.0,1.0,1.0
0,20,0,3,0,170,478,1.0,1.0,1.0
0,20,1,0,0,170,478,1.0,1.0,1.0
0,20,1,1,0,170,478,1.0,1.0,1.0
0,20,1,2,0,170,478,1.0,1.0,1.0
0,20,1,3,0,170,478,1.0,1.0,1.0
0,20,2,0,0,170,478,1.0,1.0,1.0
0,20,2,1,0,170,478,1.0,1.0,1.0
0,20,2,2,0,170,478,1.0,1.0,1.0
0,20,2,3,0,170,478,1.0,1.0,1.0
0,20,3,0,0,170,478,1.0,1.0,1.0
0,20,3,1,0,170,478,1.0,1.0,1.0
0,20,3,2,0,170,478,1.0,1.0,1.0
0,20,3,3,0,170,478,1.0,1.0,1.0
0,30,0,0,0,170,478,1.0,1.0,1.0
0,30,0,1,0,170,478,1.0,1.0,1.0
0,30,0,2,0,170,478,1.0,1.0,1.0
0,30,0,3,0,170,478,1.0,1.0,1.0
0,30,1,0,0,170,478,1.0,1.0,1.0
0,30,1,1,0,170,478,1.0,1.0,1.0
0,30,1,2,0,170,478,1.0,1.0,1.0
0,30,1,3,0,170,478,1.0,1.0,1.0
0,30,2,0,0,170,478,1.0,1.0,1.0
0,30,2,1,0,170,478,1.0,1.0,1.0
0,30,2,2,0,170,478,1.0,1.0,1.0
0,30,2,3,0,170,478,1.0,1.0,1.0
0,30,3,0,0,170,478,1.0,1.0,1.0
0,30,3,1,0,170,478,1.0,1.0,1.0
0,30,3,2,0,170,478,1.0,1.0,1.0
0,30,3,3,0,170,478,1.0,1.0,1.0
0,40,0,0,0,170,478,1.0,1.0,1.0
0,40,0,1,0,170,478,1.0,1.0,1.0
0,40,0,2,0,170,478,1.0,1.0,1.0
0,40,0,3,0,170,478,1.0,1.0,1.0
0,40,1,0,0,170,478,1.0,1.0,1.0
0,40,1,1,0,170,478,1.0,1.0,1.0
0,40,1,2,0,170,478,1.0,1.0,1.0
0,40,1,3,0,170,478,1.0,1.0,1.0
0,40,2,0,0,170,478,1.0,1.0,1.0
0,40,2,1,0,170,478,1.0,1.0,1.0
0,40,2,2,0,170,478,1.0,1.0,1.0
0,40,2,3,0,170,478,1.0,1.0,1.0
0,40,3,0,0,170,478,1.0,1.0,1.0
0,40,3,1,0,170,478,1.0,1.0,1.0
0,40,3,2,0,170,478,1.0,1.0,1.0
0,40,3,3,0,170,478,1.0,1.0,1.0
0,0,0,0,0,334,490,0.125,0.15625,0.125
0,0,0,1,0,334,490,0.125,0.125,0.125
0,0,0,2,0,334,490,0.125,0.125,0.125
0,0,0,3,0,334,490,0.125,0.125,0.125
0,0,1,0,0,334,490,0.125,0.125,0.15625
0,0,1,1,0,334,490,0.125,0.125,0.125
0,0,1,2,0,334,490,0.125,0.125,0.125
0,0,1,3,0,334,490,0.15625,0.125,0.125
0,0,2,0,0,334,490,0.15625,0.125,0.125
0,0,2,1,0,334,490,0.125,0.125,0.125
0,0,2,2,0,334,490,0.15625,0.125,0.125
0,0,2,3,0,334,490,0.125,0.125,0.15625
0,0,3,0,0,334,490,0.125,0.125,0.125
0,0,3,1,0,334,490,0.125,0.125,0.125
0,0,3,2,0,334,490,0.125,0.125,0.125
0,0,3,3,0,334,490,0.125,0.125,0.125
0,10,0,0,0,334,490,1.0,1.0,1.0
0,10,0,1,0,334,490,1.0,1.0,1.0
0,10,0,2,0,334,490,1.0,1.0,1.0
0,10,0,3,0,334,490,1.0,1.0,1.0
0,10,1,0,0,334,490,1.0,1.0,1.0
0,10,1,1,0,334,490,1.0,1.0,1.0
0,10,1,2,0,334,490,1.0,1.0,1.0
0,10,1,3,0,334,490,1.0,1.0,1.0
0,10,2,0,0,334,490,1.0,1.0,1.0
0,10,2,1,0,334,490,1.0,1.0,1.0
0,10,2,2,0,334,490,1.0,1.0,1.0
0,10,2,3,0,334,490,1.0,1.0,1.0
0,10,3,0,0,334,490,1.0,1.0,1.0
0,10,3,1,0,334,490,1.0,1.0,1.0
0,10,3,2,0,334,490,1.0,1.0,1.0
0,10,3,3,0,334,490,1.0,1.0,1.0
0,20,0,0,0,334,490,1.0,1.0,1.0
0,20,0,1,0,334,490,1.0,1.0,1.0
0,20,0,2,0,334,490,1.0,1.0,1.0
0,20,0,3,0,334,490,1.0,1.0,1.0
0,20,1,0,0,334,490,1.0,1.0,1.0
0,20,1,1,0,334,490,1.0,1.0,1.0
0,20,1,2,0,334,490,1.0,1.0,1.0
0,20,1,3,0,334,490,1.0,1.0,1.0
0,20,2,0,0,334,490,1.0,1.0,1.0
0,20,2,1,0,334,490,1.0,1.0,1.0
0,20,2,2,0,334,490,1.0,1.0,1.0
0,20,2,3,0,334,490,1.0,1.0,1.0
0,20,3,0,0,334,490,1.0,1.0,1.0
0,20,3,1,0,334,490,1.0,1.0,1.0
0,20,3,2,0,334,490,1.0,1.0,1.0
0,20,3,3,0,334,490,1.0,1.0,1.0
0,30,0,0,0,334,490,1.0,1.0,1.0
0,30,0,1,0,334,490,1.0,1.0,1.0
0,30,0,2,0,334,490,1.0,1.0,1.0
0,30,0,3,0,334,490,1.0,1.0,1.0
0,30,1,0,0,334,490,1.0,1.0,1.0
0,30,1,1,0,334,490,1.0,1.0,1.0
0,30,1,2,0,334,490,1.0,1.0,1.0
0,30,1,3,0,334,490,1.0,1.0,1.0
0,30,2,0,0,334,490,1.0,1.0,1.0
0,30,2,1,0,334,490,1.0,1.0,1.0
0,30,2,2,0,334,490,1.0,1.0,1.0
0,30,2,3,0,334,490,1.0,1.0,1.0
0,30,3,0,0,334,490,1.0,1.0,1.0
0,30,3,1,0,334,490,1.0,1.0,1.0
0,30,3,2,0,334,490,1.0,1.0,1.0
0,30,3,3,0,334,490,1.0,1.0,1.0
0,40,0,0,0,334,490,1.0,1.0,1.0
0,40,0,1,0,334,490,1.0,1.0,1.0
0,40,0,2,0,334,490,1.0,1.0,1.0
0,40,0,3,0,334,490,1.0,1.0,1.0
0,40,1,0,0,334,490,1.0,1.0,1.0
0,40,1,1,0,334,490,1.0,1.0,1.0
0,40,1,2,0,334,490,1.0,1.0,1.0
0,40,1,3,0,334,490,1.0,1.0,1.0
0,40,2,0,0,334,490,1.0,1.0,1.0
0,40,2,1,0,334,490,1.0,1.0,1.0
0,40,2,2,0,334,490,1.0,1.0,1.0
0,40,2,3,0,334,490,1.0,1.0,1.0
0,40,3,0,0,334,490,1.0,1.0,1.0
0,40,3,1,0,334,490,1.0,1.0,1.0
0,40,3,2,0,334,490,1.0,1.0,1.0
0,40,3,3,0,334,490,1.0,1.0,1.0
0,0,0,0,0,154,460,0.125,0.125,0.125
0,0,0,1,0,154,460,0.125,0.125,0.125
0,0,0,2,0,154,460,0.125,0.15625,0.125
0,0,0,3,0,154,460,0.125,0.125,0.15625
0,0,1,0,0,154,460,0.125,0.125,0.125
0,0,1,1,0,154,460,0.125,0.125,0.125
0,0,1,2,0,154,460,0.125,0.125,0.125
0,0,1,3,0,154,460,0.125,0.125,0.125
0,0,2,0,0,154,460,0.15625,0.125,0.125
0,0,2,1,0,154,460,0.125,0.125,0.125
0,0,2,2,0,154,460,0.125,0.125,0.15625
0,0,2,3,0,154,460,0.125,0.125,0.125
0,0,3,0,0,154,460,0.125,0.125,0.15625
0,0,3,1,0,154,460,0.125,0.125,0.125
0,0,3,2,0,154,460,0.125,0.125,0.125
0,0,3,3,0,154,460,0.125,0.125,0.125
0,10,0,0,0,154,460,1.0,1.0,1.0
0,10,0,1,0,154,460,1.0,1.0,1.0
0,10,0,2,0,154,460,1.0,1.0,1.0
0,10,0,3,0,154,460,1.0,1.0,1.0
0,10,1,0,0,154,460,1.0,1.0,1.0
0,10,1,1,0,154,460,1.0,1.0,1.0
0,10,1,2,0,154,460,1.0,1.0,1.0
0,10,1,3,0,154,460,1.0,1.0,1.0
0,10,2,0,0,154,460,1.0,1.0,1.0
0,10,2,1,0,154,460,1.0,1.0,1.0
0,10,2,2,0,154,460,1.0,1.0,1.0
0,10,2,3,0,154,460,1.0,1.0,1.0
0,10,3,0,0,154,460,1.0,1.0,1.0
0,10,3,1,0,154,460,1.0,1.0,1.0
0,10,3,2,0,154,460,1.0,1.0,1.0
0,10,3,3,0,154,460,1.0,1.0,1.0
0,20,0,0,0,154,460,1.0,1.0,1.0
0,20,0,1,0,154,460,1.0,1.0,1.0
0,20,0,2,0,154,460,1.0,1.0,1.0
0,20,0,3,0,154,460,1.0,1.0,1.0
0,20,1,0,0,154,460,1.0,1.0,1.0
0,20,1,1,0,154,460,1.0,1.0,1.0
0,20,1,2,0,154,460,1.0,1.0,1.0
0,20,1,3,0,154,460,1.0,1.0,1.0
0,20,2,0,0,154,460,1.0,1.0,1.0
0,20,2,1,0,154,460,1.0,1.0,1.0
0,20,2,2,0,154,460,1.0,1.0,1.0
0,20,2,3,0,154,460,1.0,1.0,1.0
0,20,3,0,0,154,460,1.0,1.0,1.0
0,20,3,1,0,154,460,1.0,1.0,1.0
0,20,3,2,0,154,460,1.0,1.0,1.0
0,20,3,3,0,154,460,1.0,1.0,1.0
0,30,0,0,0,154,460,1.0,1.0,1.0
0,30,0,1,0,154,460,1.0,1.0,1.0
0,30,0,2,0,154,460,1.0,1.0,1.0
0,30,0,3,0,154,460,1.0,1.0,1.0
0,30,1,0,0,154,460,1.0,1.0,1.0
0,30,1,1,0,154,460,1.0,1.0,1.0
0,30,1,2,0,154,460,1.0,1.0,1.0
0,30,1,3,0,154,460,1.0,1.0,1.0
0,30,2,0,0,154,460,1.0,1.0,1.0
0,30,2,1,0,154,460,1.0,1.0,1.0
0,30,2,2,0,154,460,1.0,1.0,1.0
0,30,2,3,0,154,460,1.0,1.0,1.0
0,30,3,0,0,154,460,1.0,1.0,1.0
0,30,3,1,0,154,460,1.0,1.0,1.0
0,30,3,2,0,154,460,1.0,1.0,1.0
0,30,3,3,0,154,460,1.0,1.0,1.0
0,40,0,0,0,154,460,1.0,1.0,1.0
0,40,0,1,0,154,460,1.0,1.0,1.0
0,40,0,2,0,154,460,1.0,1.0,1.0
0,40,0,3,0,154,460,1.0,1.0,1.0
0,40,1,0,0,154,460,1.0,1.0,1.0
0,40,1,1,0,154,460,1.0,1.0,1.0
0,40,1,2,0,154,460,1.0,1.0,1.0
0,40,1,3,0,154,460,1.0,1.0,1.0
0,40,2,0,0,154,460,1.0,1.0,1.0
0,40,2,1,0,154,460,1.0,1.0,1.0
0,40,2,2,0,154,460,1.0,1.0,1.0
0,40,2,3,0,154,460,1.0,1.0,1.0
0,40,3,0,0,154,460,1.0,1.0,1.0
0,40,3,1,0,154,460,1.0,1.0,1.0
0,40,3,2,0,154,460,1.0,1.0,1.0
0,40,3,3,0,154,460,1.0,1.0,1.0
0,0,0,0,0,324,406,0.125,0.125,0.125
0,0,0,1,0,324,406,0.125,0.125,0.125
0,0,0,2,0,324,406,0.125,0.15625,0.125
0,0,0,3,0,324,406,0.125,0.125,0.15625
0,0,1,0,0,324,406,0.125,0.125,0.125
0,0,1,1,0,324,406,0.125,0.125,0.125
0,0,1,2,0,324,406,0.125,0.125,0.125
0,0,1,3,0,324,406,0.125,0.125,0.125
0,0,2,0,0,324,406,0.125,0.125,0.125
0,0,2,1,0,324,406,0.125,0.125,0.125
0,0,2,2,0,324,406,0.125,0.125,0.125
0,0,2,3,0,324,406,0.125,0.125,0.125
0,0,3,0,0,324,406,0.125,0.15625,0.125
0,0,3,1,0,324,406,0.125,0.125,0.125
0,0,3,2,0,324,406,0.125,0.125,0.125
0,0,3,3,0,324,406,0.125,0.125,0.125
0,10,0,0,0,324,406,1.0,1.0,1.0
0,10,0,1,0,324,406,1.0,1.0,1.0
0,10,0,2,0,324,406,1.0,1.0,1.0
0,10,0,3,0,324,406,1.0,1.0,1.0
0,10,1,0,0,324,406,1.0,1.0,1.0
0,10,1,1,0,324,406,1.0,1.0,1.0
0,10,1,2,0,324,406,1.0,1.0,1.0
0,10,1,3,0,324,406,1.0,1.0,1.0
0,10,2,0,0,324,406,1.0,1.0,1.0
0,10,2,1,0,324,406,1.0,1.0,1.0
0,10,2,2,0,324,406,1.0,1.0,1.0
0,10,2,3,0,324,406,1.0,1.0,1.0
0,10,3,0,0,324,406,1.0,1.0,1.0
0,10,3,1,0,324,406,1.0,1.0,1.0
0,10,3,2,0,324,406,1.0,1.0,1.0
0,10,3,3,0,324,406,1.0,1.0,1.0
0,20,0,0,0,324,406,1.0,1.0,1.0
0,20,0,1,0,324,406,1.0,1.0,1.0
0,20,0,2,0,324,406,1.0,1.0,1.0
0,20,0,3,0,324,406,1.0,1.0,1.0
0,20,1,0,0,324,406,1.0,1.0,1.0
0,20,1,1,0,324,406,1.0,1.0,1.0
0,20,1,2,0,324,406,1.0,1.0,1.0
0,20,1,3,0,324,406,1.0,1.0,1.0
0,20,2,0,0,324,406,1.0,1.0,1.0
0,20,2,1,0,324,406,1.0,1.0,1.0
0,20,2,2,0,324,406,1.0,1.0,1.0
0,20,2,3,0,324,406,1.0,1.0,1.0
0,20,3,0,0,324,406,1.0,1.0,1.0
0,20,3,1,0,324,406,1.0,1.0,1.0
0,20,3,2,0,324,406,1.0,1.0,1.0
0,20,3,3,0,324,406,1.0,1.0,1.0
0,30,0,0,0,324,406,1.0,1.0,1.0
0,30,0,1,0,324,406,1.0,1.0,1.0
0,30,0,2,0,324,406,1.0,1.0,1.0
0,30,0,3,0,324,406,1.0,1.0,1.0
0,30,1,0,0,324,406,1.0,1.0,1.0
0,30,1,1,0,324,406,1.0,1.0,1.0
0,30,1,2,0,324,406,1.0,1.0,1.0
0,30,1,3,0,324,406,1.0,1.0,1.0
0,30,2,0,0,324,406,1.0,1.0,1.0
0,30,2,1,0,324,406,1.0,1.0,1.0
0,30,2,2,0,324,406,1.0,1.0,1.0
0,30,2,3,0,324,406,1.0,1.0,1.0
0,30,3,0,0,324,406,1.0,1.0,1.0
0,30,3,1,0,324,406,1.0,1.0,1.0
0,30,3,2,0,324,406,1.0,1.0,1.0
0,30,3,3,0,324,406,1.0,1.0,1.0
0,40,0,0,0,324,406,1.0,1.0,1.0
0,40,0,1,0,324,406,1.0,1.0,1.0
0,40,0,2,0,324,406,1.0,1.0,1.0
0,40,0,3,0,324,406,1.0,1.0,1.0
0,40,1,0,0,324,406,1.0,1.0,1.0
0,40,1,1,0,324,406,1.0,1.0,1.0
0,40,1,2,0,324,406,1.0,1.0,1.0
0,40,1,3,0,324,406,1.0,1.0,1.0
0,40,2,0,0,324,406,1.0,1.0,1.0
0,40,2,1,0,324,406,1.0,1.0,1.0
0,40,2,2,0,324,406,1.0,1.0,1.0
0,40,2,3,0,324,406,1.0,1.0,1.0
0,40,3,0,0,324,406,1.0,1.0,1.0
0,40,3,1,0,324,406,1.0,1.0,1.0
0,40,3,2,0,324,406,1.0,1.0,1.0
0,40,3,3,0,324,406,1.0,1.0,1.0
0,0,0,0,0,6,400,0.125,0.125,0.125
0,0,0,1,0,6,400,0.15625,0.125,0.125
0,0,0,2,0,6,400,0.125,0.125,0.125
0,0,0,3,0,6,400,0.125,0.15625,0.125
0,0,1,0,0,6,400,0.125,0.125,0.125
0,0,1,1,0,6,400,0.125,0.125,0.125
0,0,1,2,0,6,400,0.125,0.125,0.125
0,0,1,3,0,6,400,0.125,0.125,0.125
0,0,2,0,0,6,400,0.125,0.125,0.15625
0,0,2,1,0,6,400,0.125,0.125,0.125
0,0,2,2,0,6,400,0.125,0.125,0.125
0,0,2,3,0,6,400,0.125,0.125,0.125
0,0,3,0,0,6,400,0.125,0.125,0.125
0,0,3,1,0,6,400,0.125,0.125,0.15625
0,0,3,2,0,6,400,0.125,0.125,0.125
0,0,3,3,0,6,400,0.125,0.125,0.125
0,10,0,0,0,6,400,1.0,1.0,1.0
0,10,0,1,0,6,400,1.0,1.0,1.0
0,10,0,2,0,6,400,1.0,1.0,1.0
0,10,0,3,0,6,400,1.0,1.0,1.0
0,10,1,0,0,6,400,1.0,1.0,1.0
0,10,1,1,0,6,400,1.0,1.0,1.0
0,10,1,2,0,6,400,1.0,1.0,1.0
0,10,1,3,0,6,400,1.0,1.0,1.0
0,10,2,0,0,6,400,1.0,1.0,1.0
0,10,2,1,0,6,400,1.0,1.0,1.0
0,10,2,2,0,6,400,1.0,1.0,1.0
0,10,2,3,0,6,400,1.0,1.0,1.0
0,10,3,0,0,6,400,1.0,1.0,1.0
0,10,3,1,0,6,400,1.0,1.0,1.0
0,10,3,2,0,6,400,1.0,1.0,1.0
0,10,3,3,0,6,400,1.0,1.0,1.0
0,20,0,0,0,6,400,1.0,1.0,1.0
0,20,0,1,0,6,400,1.0,1.0,1.0
0,20,0,2,0,6,400,1.0,1.0,1.0
0,20,0,3,0,6,400,1.0,1.0,1.0
0,20,1,0,0,6,400,1.0,1.0,1.0
0,20,1,1,0,6,400,1.0,1.0,1.0
0,20,1,2,0,6,400,1.0,1.0,1.0
0,20,1,3,0,6,400,1.0,1.0,1.0
0,20,2,0,0,6,400,1.0,1.0,1.0
0,20,2,1,0,6,400,1.0,1.0,1.0
0,20,2,2,0,6,400,1.0,1.0,1.0
0,20,2,3,0,6,400,1.0,1.0,1.0
